# attr	disposition	owner_or_disproof	expected_after
actionBarPopupTheme	CLEARED	only ?attr/actionBarPopupTheme consumer is appcompat's Base.Widget.AppCompat.ActionBar->popupTheme, inflated only under windowActionBar=true; both themes are *.NoActionBar (styles.xml:135,:196) and Widget.Material3.Toolbar sets no popupTheme	
actionBarSize	NAMED	T	dim=64.0000/u1
actionBarSplitStyle	CLEARED	no ?attr/actionBarSplitStyle reference exists in appcompat or material values/layouts; it is read only by appcompat's WindowDecorActionBar split container, and both themes are *.NoActionBar (styles.xml:135,:196)	
actionBarStyle	CLEARED	only consumer is appcompat's abc_screen_toolbar.xml (style="?attr/actionBarStyle"), inflated only when windowActionBar=true; both themes are *.NoActionBar and the single setSupportActionBar site (BuildInvalidActivity.kt:24) yields a ToolbarActionBar	
actionModeStyle	CLEARED	consumers are appcompat's abc_action_mode_bar.xml / abc_screen_toolbar.xml; app bytecode contains no ActionMode or startSupportActionMode reference, and at minSdk 23 TextView selection uses the framework floating action mode, which AppCompatWindowCallback declines	
actionOverflowMenuStyle	NAMED	9c	eu.mikus.edziennik:style/Widget.Material3.PopupMenu.Overflow
alertDialogTheme	CLEARED	MaterialAlertDialogBuilder passes the resolved materialAlertDialogTheme (pinned at styles.xml:194,:261) straight to AlertDialog.Builder, so resolveDialogTheme never falls back to alertDialogTheme; no androidx.appcompat.app.AlertDialog$Builder and no android.app.AlertDialog in app bytecode	
android:buttonBarButtonStyle	CLEARED	android:-namespace row, read only by the framework android.app.AlertDialog button bar; the app constructs no android.app.AlertDialog (§8.3) - every dialog goes through MaterialAlertDialogBuilder, which reads the appcompat-namespace attributes	
android:buttonBarNegativeButtonStyle	CLEARED	android:-namespace row, read only by the framework android.app.AlertDialog button bar; the app constructs no android.app.AlertDialog (§8.3) - every dialog goes through MaterialAlertDialogBuilder, which reads the appcompat-namespace attributes	
android:buttonBarNeutralButtonStyle	CLEARED	android:-namespace row, read only by the framework android.app.AlertDialog button bar; the app constructs no android.app.AlertDialog (§8.3) - every dialog goes through MaterialAlertDialogBuilder, which reads the appcompat-namespace attributes	
android:buttonBarPositiveButtonStyle	CLEARED	android:-namespace row, read only by the framework android.app.AlertDialog button bar; the app constructs no android.app.AlertDialog (§8.3) - every dialog goes through MaterialAlertDialogBuilder, which reads the appcompat-namespace attributes	
android:contextPopupMenuStyle	NAMED	9c	eu.mikus.edziennik:style/Widget.Material3.PopupMenu.ContextMenu
android:textAppearanceListItem	CLEARED	all 8 <ListView> tags are in RemoteViews widget_*/row_widget_* layouts (launcher-hosted, §7 entry 11); no Spinner and no onCreateOptionsMenu in app bytecode; and MaterialAlertDialog.MaterialComponents pins listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout to mtrl_alert_select_dialog_*, none of which set a textAppearance	
android:textAppearanceListItemSecondary	CLEARED	all 8 <ListView> tags are in RemoteViews widget_*/row_widget_* layouts (launcher-hosted, §7 entry 11); no Spinner and no onCreateOptionsMenu in app bytecode; and MaterialAlertDialog.MaterialComponents pins listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout to mtrl_alert_select_dialog_*, none of which set a textAppearance	
android:textAppearanceListItemSmall	CLEARED	all 8 <ListView> tags are in RemoteViews widget_*/row_widget_* layouts (launcher-hosted, §7 entry 11); no Spinner and no onCreateOptionsMenu in app bytecode; and MaterialAlertDialog.MaterialComponents pins listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout to mtrl_alert_select_dialog_*, none of which set a textAppearance	
android:textColorAlertDialogListItem	CLEARED	read only by appcompat's select_dialog_{item,singlechoice,multichoice}_material.xml, all three replaced by MaterialAlertDialog.MaterialComponents's listItemLayout/singleChoiceItemLayout/multiChoiceItemLayout=mtrl_alert_select_dialog_* (none of which reference it); no framework AlertDialog in app bytecode	
android:textColorHighlight	NAMED	H	eu.mikus.edziennik:color/text_highlight
android:textColorHighlightInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing	
android:textColorHint	CLEARED	§7 'Dark hint alpha': the only two android:hint sites - search_item.xml:16 and fragment_debug.xml:26 - sit inside literal-style-pinned TextInputLayouts, and Base.Widget.MaterialComponents.TextInputLayout sets android:textColorHint=@color/mtrl_indicator_text_color itself	
android:textColorHintInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing	
android:textColorLink	NAMED	L	
android:textColorLinkInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing; M3 sets it to ?attr/colorPrimaryInverse, item 11 of §5.2's pinned set	
android:textColorPrimaryDisableOnly	CLEARED	consumers are appcompat's Base.TextAppearance.AppCompat.Widget.DropDownItem (no Spinner in the tree), Base.TextAppearance.Widget.AppCompat.ExpandedMenu.Item and Base.V7.Theme.AppCompat->actionMenuTextColor (no onCreateOptionsMenu in app bytecode; both themes *.NoActionBar)	
android:textColorPrimaryInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing	
android:textColorPrimaryInverseDisableOnly	CLEARED	no ?android:attr/textColorPrimaryInverseDisableOnly reference in appcompat or material values/layouts, and none in the app	
android:textColorSecondaryInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing	
android:textColorTertiary	NAMED	N	eu.mikus.edziennik:color/text_tertiary
android:textColorTertiaryInverse	CLEARED	read only through TextAppearance.*.Inverse (§7 H-dead); grep -rn '\.Inverse' app/src/main/res app/src/main/java returns nothing	
appBarLayoutStyle	CLEARED	no <com.google.android.material.appbar.AppBarLayout tag in app/src/main/res/layout, no appbar/AppBarLayout class in app bytecode (LC_ALL=C grep -r --include='*.class' over app/build/{tmp/kotlin-classes/debug,intermediates/javac/debug}), and no style="?attr/appBarLayoutStyle" in any layout	
badgeStyle	CLEARED	material reader is badge/BadgeDrawable; app bytecode references no com/google/android/material/badge class (every Badge* symbol is Compose material3 or an app symbol), and no style="?attr/badgeStyle"	
borderlessButtonStyle	NAMED	4b	eu.mikus.edziennik:style/Widget.Material3.Button.TextButton
bottomAppBarStyle	CLEARED	no <com.google.android.material.bottomappbar.BottomAppBar tag in app/src/main/res/layout, no bottomappbar/BottomAppBar class in app bytecode (LC_ALL=C grep -r --include='*.class' over app/build/{tmp/kotlin-classes/debug,intermediates/javac/debug}), and no style="?attr/bottomAppBarStyle" in any layout	
bottomNavigationStyle	CLEARED	no <com.google.android.material.bottomnavigation.BottomNavigationView tag in app/src/main/res/layout, no bottomnavigation/BottomNavigationView class in app bytecode (LC_ALL=C grep -r --include='*.class' over app/build/{tmp/kotlin-classes/debug,intermediates/javac/debug}), and no style="?attr/bottomNavigationStyle" in any layout	
bottomSheetDialogTheme	CLEARED	material reader is bottomsheet/BottomSheetDialog; app bytecode references no com/google/android/material/bottomsheet class - the app's sheet is Compose (AppSheet.kt) - and no style="?attr/bottomSheetDialogTheme"	
buttonBarButtonStyle	CLEARED	§8.3: Base.V14.ThemeOverlay.MaterialComponents.MaterialAlertDialog re-pins all four to Widget.MaterialComponents.Button.TextButton.Dialog(.Flush) and AppTheme.MaterialAlertDialog stays on that overlay, so mtrl_alert_dialog_actions.xml / abc_alert_dialog_button_bar_material.xml never see the app-theme row; mtrl_picker_actions.xml runs under ThemeOverlay.*.MaterialCalendar, which pins positive/negative itself	
buttonBarNegativeButtonStyle	CLEARED	§8.3: Base.V14.ThemeOverlay.MaterialComponents.MaterialAlertDialog re-pins all four to Widget.MaterialComponents.Button.TextButton.Dialog(.Flush) and AppTheme.MaterialAlertDialog stays on that overlay, so mtrl_alert_dialog_actions.xml / abc_alert_dialog_button_bar_material.xml never see the app-theme row; mtrl_picker_actions.xml runs under ThemeOverlay.*.MaterialCalendar, which pins positive/negative itself	
buttonBarNeutralButtonStyle	CLEARED	§8.3: Base.V14.ThemeOverlay.MaterialComponents.MaterialAlertDialog re-pins all four to Widget.MaterialComponents.Button.TextButton.Dialog(.Flush) and AppTheme.MaterialAlertDialog stays on that overlay, so mtrl_alert_dialog_actions.xml / abc_alert_dialog_button_bar_material.xml never see the app-theme row; mtrl_picker_actions.xml runs under ThemeOverlay.*.MaterialCalendar, which pins positive/negative itself	
buttonBarPositiveButtonStyle	CLEARED	§8.3: Base.V14.ThemeOverlay.MaterialComponents.MaterialAlertDialog re-pins all four to Widget.MaterialComponents.Button.TextButton.Dialog(.Flush) and AppTheme.MaterialAlertDialog stays on that overlay, so mtrl_alert_dialog_actions.xml / abc_alert_dialog_button_bar_material.xml never see the app-theme row; mtrl_picker_actions.xml runs under ThemeOverlay.*.MaterialCalendar, which pins positive/negative itself	
checkboxStyle	NAMED	5	eu.mikus.edziennik:style/Widget.Material3.CompoundButton.CheckBox
